trial_number,value,state,datetime_start,datetime_complete,use_percent_margin,margin_percent,margin_usdt,atr_mult_tp1,atr_mult_tp2,atr_mult_sl,trailing_start_atr,trailing_step_atr,breakeven_atr,breakeven_buffer_pts,tp1_pct,tp2_pct
37,-0.43218024950912926,1,2025-10-26T01:02:39.592631,2025-10-26T01:02:43.714303,False,3.519774719628087,7.6822482759981146,1.1002060721239597,3.0134524185827027,1.8428702447480683,0.7352332452857467,0.7074869853226715,1.391471049405152,0.8162234892299027,0.6204236413697319,0.20703680044827452
38,-1.6814008009366992,1,2025-10-26T01:02:43.719303,2025-10-26T01:02:47.885070,True,2.7314290891411943,3.7882888876210106,0.7820519472923464,5.882502447299372,2.697377088931745,1.0559218667005459,0.5701496835731006,1.565223018915388,0.4542413092820659,0.5579625399528731,0.36734970008081297
39,-2.638236358810851,1,2025-10-26T01:02:47.890069,2025-10-26T01:02:52.086751,False,2.354826085594739,49.9545923714717,0.5406720747434538,3.668756060756092,2.3067390833016184,3.4918775777769233,0.4988715784586645,2.462680386264193,0.7530950995786323,0.7616601785094486,0.45164838611192387
40,-0.7625856505106657,1,2025-10-26T01:02:52.094749,2025-10-26T01:02:56.319649,False,4.33930731567701,11.92768041469122,1.4060500494845125,4.222615095047046,2.093691268990483,2.3922996891025297,0.33023446245812543,1.0507450173421957,0.3841233227988626,0.5189774242035178,0.5922061671553571
41,-0.35987043268334523,1,2025-10-26T01:02:56.324652,2025-10-26T01:03:00.102006,False,4.789842362890206,1.0520649409066587,2.442061708341597,4.529320440205367,2.025029404990227,1.3752893967127982,0.8248028237236614,1.1698919847564404,0.3714434130251375,0.771275103143224,0.3655898102764478
42,-0.4134284163559899,1,2025-10-26T01:03:00.108528,2025-10-26T01:03:04.083194,False,3.2524419706767436,4.2135110711162005,2.081658382795671,4.242279358071229,2.4617241164983614,1.2851317146003587,0.9049261889294506,1.2927976271655808,0.30634957567415,0.7238390957441891,0.3391621541802102
43,-1.2255178551138783,1,2025-10-26T01:03:04.090195,2025-10-26T01:03:08.343636,False,3.920152473641334,7.9474820141249145,1.5941197412375725,4.043231891455543,1.9513580454907404,1.6033862828905963,0.6727776926487441,0.693701692606292,0.9036503243859848,0.6788582453182865,0.3081099685910937
44,-0.44282787952945707,1,2025-10-26T01:03:08.348634,2025-10-26T01:03:12.143269,False,4.262950809437766,3.8984173169736596,2.6871272636864707,3.768495985480191,2.131805035021862,1.0043927190331172,0.9548908879813883,1.420435897574304,0.5254331974745469,0.7779059131912692,0.41163484072684386
45,-0.4174679337573146,1,2025-10-26T01:03:12.146268,2025-10-26T01:03:15.939346,False,3.505793142536612,6.315962590466931,2.3876108606878983,3.4513275917776385,1.8133168650542282,1.1707437772918632,0.8822081821474541,0.971105695807165,0.22131760219148236,0.4335392369880845,0.3540109250179441
46,-0.7744381204828824,1,2025-10-26T01:03:15.943347,2025-10-26T01:03:19.884659,False,1.8194751160316298,39.75683264691516,1.0954380347649293,4.384446979921019,2.2436388383466324,1.4282925377369047,0.750761452701129,1.2419916468017236,0.14951445472865604,0.7302212128953968,0.2877835109313668
47,-1.9509028690695533,1,2025-10-26T01:03:19.889657,2025-10-26T01:03:24.307394,True,2.750756787979591,2.372812147563626,1.3902693958773842,4.7842523721478365,1.700617141650354,1.8029150327247672,0.831410786944812,0.810068934806867,0.6905922725828242,0.6053548186309605,0.45074189534804765
48,-0.8923742308306643,1,2025-10-26T01:03:24.311393,2025-10-26T01:03:28.273270,False,1.2575509251546384,10.667170355390837,2.1633298322239938,2.060032364032767,2.047644784801135,0.8810216869584971,0.7827255701270229,1.6308114101246818,0.40767270290267466,0.791775057669069,0.3899042719246467
49,-0.5619676634826258,1,2025-10-26T01:03:28.277011,2025-10-26T01:03:32.384269,False,2.421885855627698,13.048875534896142,1.9332641984930419,4.13708447046704,2.4659223119691416,0.6206383214154056,0.5327917998811637,1.8008508035896782,0.45801911350907015,0.2994549653241844,0.3151498822013597
